rno,Be_Effective,Immediate_Relief,Fix_Root_Cause,No_Side_Effect,Right_Price,Not_Too_Strong,Good_Brand,Easy_To_Find,Reduce_Gas,Protect_Stomach,Convenient_Dose,Long_Term_Effective,Good_Taste,Doc_Reccomend,Sustained_Relief,Flavours,Multiple_Forms,q14a1_1,edresp,occresp,medied,qlfn_2,qlfn_1,qlfn_3,cook_1,cook_2,cook_3,eatfreq,travel,daystrav,ailment1,ailment2,ailment3,ailment4,occcwe,edcwe,sec,mhi,ageresp,sexresp,edhw,workhw,lang_1,lang_2,anydr,chemist,family,expmedi,moub,cluster
1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,9,5,57,2,51, , ,4, , ,8,2, ,97, , , ,57,5,B2,3, , ,5,1,2, ,2,3,1,25,9,1
2,4,3,5,5,4,5, ,2,3,4,3,4,3,4,3,2,3,9,3,68,2,38, , ,2,4, ,4,2, ,97, , , ,50,1,E2,3,35,2,1,3,12, ,2,3,1,25,10,2
3,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,3,4,52,2,1, , ,2,4, ,8,2, ,97, , , ,49,4,D,4,30,1,4,3,2,13,2,3,2,500,1,2
4,5,5,5,5,5,5,4,3,5,5,4,4,5,4,5,3,4, ,1,68,2,52, , ,4,B, ,7,2, ,2,27, , ,52,6,A2,3,23,2,1,3,2, ,2,3,1,200,10,2
5,5,5,5, ,5, ,5, ,5, ,3,3,2,2,5,5,3,1,3,69,2,7, , ,4, , ,9,2, ,97, , , ,52,3,C,3, ,1,4,3,2,12,2,3,1,50,10,1
6,5,3,5,3,4,4,3,4,4,5,3,4,4,3,4,4,5,2,4,51,2,1, , ,4, , ,6,1,4,97, , , ,51,6,B2,4,42,1,6,3,1,2,2,3,1,50,1,4
7,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,1,5,1,4,68,2,1, , ,4, , ,9,2, ,97, , , ,65,6,B1,5, , ,4,3,2, ,2,3,1,50,1,3
8,2,3,4,3,4,3,4,5,5,4,5,5,5,4,4,5,5,8,3,50,2,8, , ,2,4, ,2,1,4,97, , , ,50,3,D,3,35,1,1,3,2, ,2,3,2,200,12,4
9,5,4,5,5,5,3,3,5,5,4,3,4,4,5,5,3,4,1,2,69,2,47, , ,5, , ,8,2, ,97, , , ,57,6,B1,4, ,2,4,3,2, ,2,3,1,200,1,0
10,5,4,5,5,5,5,5,5,5,5,5,4,2,3,5,5,5,19,6,52,1,17, , ,4, , ,9,2, ,97, , , ,52,6,A2,4, , ,4,3,2,12,2,3,1,500,13,1
11,5,5,5,5,5,4,3,5,5,4,4,5,4,2,5, ,4,10,7,66,1,50, , ,4, , ,4,2, ,97, , , ,67,6,A1,6,31,1,7,1,1,2,2,3,1,300,1,0
12,5,5,5,5,4,3,5,5,5,4,3,5,4,5,5,4,3,9,4,68,2,1, , ,4, , ,9,2, ,3, , , ,57,6,B1,5, , ,3,3,2, ,2,3,1,200,1,1
13,5,5,5,5,5,5,4,4,3,5,3,5,3,3,4,5,3,1,3,52,2,8, , ,4, , ,8,2, ,97, , , ,52,4,B2,4, , ,1,3,2, ,2,3,1,300,1,2
14,5,4,5,5,5,5,4,5,4,5,5,5,5,4,5,3,3,9,7,67,1,30,50, ,B, , ,7,1,5,2, , , ,54,4,B1,5, , ,3,3,2, ,2,3,3,300,9,3
15,5,4,5,4,5,5,5,4,5,3,5,5,5, , , , , ,6,52,2,30, , ,4, , ,8,2, ,97, , , ,53,5,A2,3,30,1,6,3,12, ,2,3,3,100, ,1
16,5,5,5,5,5,3,5,5,5,5,5,5,2,3,5,1,4,1,7,67,1,27, , ,1, , ,8,2, ,15, , , ,67,7,A1,4,38,2,6,3,6, ,2,3,1,100,12,3
17,5,5,5,5,5,5,5,4,5,5,2,5,4,5,5,4,4,1,4,52,2,1, , ,4, , ,4,2, ,97, , , ,52,4,B2,5, , ,4,1,2, ,2,3,2,50,7,1
18,5,5,5,5,5,3,3,3,3,3,3,5,4,4,4,5,5,1,1,68,2,99, , ,4, , ,9,2, ,2, , , ,50,6,B2,3, ,1,1,3,2, ,2,3,1,150,1,2
19,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,4,5,1,4,52,2,22, , ,4, , ,8,2, ,97, , , ,52,4,B2,5,40,1,4,3,2, ,2,3,2,100,1,1
20,5,4,5,5,5,4,4,4,5,5,5,4,5,5,5,4,4,1,4,69,2,1, , ,4, , ,9,2, ,97, , , ,49,3,E1,5,19,2,3,3,2, ,2,3,2,100,1,1
21,5,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,1,1,68,2,1, , ,4, , ,9,2, ,97, , , ,49,3,E1,3,60,2,1,3,2, ,2,3,1,25,1,2
22,5,5,5,5,4,3,3,3,4,2,2,5,3,4,4,5,5,1,3,68,2,38, , ,4, , ,9,2, ,97, , , ,51,3,D,3, ,2,1,3,2, ,2,3,1,150,1,2
23,5,5,5,5,5,3,3,3,3,3,3,5,4,5,5,4,4,1,3,68,2,8, , ,4, , ,9,2, ,97, , , ,49,3,E1,4,20,2,1,1,2, ,2,3,1,200,10,2
24,5,5,5,5,3,3,3,3, , ,1,2,3, ,3,5,5,1,4,50,2,1, , ,4, , ,9,2, ,97, , , ,51,3,D,3, ,1,4,3,2, ,2,3,1,151,10,2
25,5,5,5,5,5,3,3,5,3,3,3,5,5,3,5,5,5,1,4,69,2,9, , ,4, , ,9,2, ,97, , , ,49,4,D,3,18,2,1,3,2, ,2,3,3,75,9,2
26,5,5,5,5,5,5,5,2,5,5,2,5,4,5,5,4,4,1,4,52,2,1, , ,4, , ,6,2, ,97, , , ,52,4,B2,5, , ,4,1,2, ,2,3,1,20,1,2
