id,month,gender,age_band,Income,Checking_account,Churn,censor
1,22,M,60-64,C,Y,0,1
2,41,F,65+,U,Y,0,1
3,43,M,25-29,G,Y,0,1
4,47,M,25-29,H,Y,0,1
5,21,F,60-64,U,Y,0,1
6,11,F,21-24,U,Y,0,1
7,57,F,60-64,E,Y,0,1
8,5,M,50-54,F,N,0,1
9,55,F,60-64,D,Y,0,1
10,1,F,50-54,U,N,0,1
11,40,F,45-49,E,Y,0,1
12,22,F,55-59,U,Y,1,0
13,40,F,60-64,I,Y,0,1
14,28,F,60-64,G,Y,0,1
15,30,M,50-54,I,Y,0,1
16,12,M,60-64,I,Y,0,1
17,31,F,45-49,G,Y,0,1
18,3,M,60-64,F,N,0,1
19,48,F,65+,G,Y,0,1
20,15,M,21-24,G,Y,0,1
21,2,M,21-24,U,Y,0,1
22,9,M,60-64,I,Y,0,1
23,29,M,50-54,U,Y,0,1
24,45,F,30-34,H,Y,0,1
25,6,M,50-54,G,N,0,1
26,22,F,60-64,A,N,0,1
27,33,M,45-49,G,Y,0,1
28,19,F,55-59,U,Y,0,1
29,15,M,60-64,E,N,0,1
30,18,F,25-29,A,Y,0,1
31,12,F,25-29,U,Y,0,1
32,2,F,50-54,U,Y,0,1
33,30,F,60-64,I,Y,0,1
34,16,F,60-64,F,N,0,1
35,40,F,45-49,C,N,0,1
36,12,M,40-44,I,N,0,1
37,16,F,60-64,F,Y,0,1
38,19,M,25-29,U,Y,0,1
39,21,F,21-24,G,Y,0,1
40,13,M,21-24,I,Y,1,0
41,20,M,25-29,U,Y,0,1
42,28,M,60-64,D,N,0,1
43,21,F,45-49,I,Y,0,1
44,21,F,30-34,E,Y,0,1
45,2,M,50-54,U,N,0,1
46,12,F,45-49,D,N,0,1
47,41,F,50-54,H,Y,0,1
48,26,M,40-44,H,Y,0,1
49,16,M,25-29,F,N,0,1
50,46,M,50-54,B,Y,0,1
51,42,M,25-29,F,Y,0,1
52,4,F,55-59,G,N,0,1
53,35,M,25-29,U,Y,0,1
54,49,M,45-49,F,Y,0,1
55,30,F,60-64,F,Y,0,1
56,58,M,45-49,F,Y,0,1
57,3,M,50-54,C,Y,0,1
58,6,M,21-24,U,Y,0,1
59,22,F,55-59,B,Y,0,1
60,49,F,35-39,E,Y,0,1
61,12,M,50-54,F,N,0,1
62,15,M,21-24,G,Y,0,1
63,12,F,35-39,F,Y,0,1
64,46,F,55-59,F,Y,0,1
65,52,F,60-64,C,Y,0,1
66,6,M,55-59,I,N,0,1
67,13,F,25-29,B,N,0,1
68,1,M,50-54,H,Y,0,1
69,40,F,30-34,F,Y,0,1
70,45,F,25-29,F,Y,0,1
71,32,F,25-29,G,Y,0,1
72,17,M,25-29,I,Y,0,1
73,25,F,60-64,F,Y,0,1
74,29,M,25-29,I,Y,0,1
75,32,F,65+,F,N,1,0
76,2,F,21-24,C,Y,0,1
77,31,F,21-24,G,Y,0,1
78,55,F,55-59,I,Y,0,1
79,26,M,50-54,E,N,0,1
80,13,M,60-64,A,N,0,1
81,28,M,45-49,G,Y,0,1
82,10,M,40-44,H,N,0,1
83,9,F,50-54,U,Y,0,1
84,10,F,21-24,U,Y,0,1
85,19,F,21-24,F,Y,0,1
86,47,F,55-59,I,Y,0,1
87,26,F,60-64,D,Y,0,1
88,32,F,60-64,G,Y,0,1
89,28,M,25-29,F,Y,0,1
90,17,M,50-54,F,N,0,1
91,37,F,60-64,E,Y,0,1
92,7,M,60-64,I,Y,0,1
93,17,M,40-44,F,N,0,1
94,9,M,60-64,H,Y,0,1
95,6,F,40-44,U,Y,0,1
96,9,M,40-44,H,N,0,1
97,21,M,45-49,G,Y,0,1
98,17,F,25-29,I,Y,0,1
99,12,F,60-64,C,Y,0,1
100,11,M,21-24,G,Y,0,1
101,45,F,30-34,U,Y,0,1
102,29,M,50-54,F,Y,0,1
103,8,M,45-49,I,N,0,1
104,26,F,45-49,U,Y,0,1
105,1,F,40-44,G,Y,0,1
106,14,M,30-34,U,Y,0,1
107,21,F,35-39,U,N,0,1
108,33,F,55-59,H,Y,0,1
109,40,M,50-54,B,Y,0,1
110,9,F,45-49,G,N,0,1
111,38,F,60-64,I,Y,0,1
112,41,F,60-64,E,Y,0,1
113,38,M,40-44,F,Y,0,1
114,19,F,55-59,E,Y,0,1
115,7,F,45-49,F,Y,0,1
116,23,M,60-64,F,Y,0,1
117,9,M,60-64,D,N,0,1
118,54,F,50-54,H,N,0,1
119,12,M,60-64,U,Y,0,1
120,34,M,25-29,I,Y,0,1
121,50,F,40-44,F,Y,0,1
122,40,M,45-49,I,Y,0,1
123,48,M,35-39,G,N,0,1
124,27,F,45-49,F,Y,0,1
125,14,M,50-54,F,N,0,1
126,45,F,45-49,H,Y,0,1
127,19,M,40-44,U,Y,0,1
128,12,F,21-24,D,Y,0,1
129,13,F,60-64,I,N,0,1
130,4,F,35-39,D,N,0,1
131,2,M,35-39,U,Y,0,1
132,27,M,60-64,U,Y,0,1
133,13,F,65+,U,Y,0,1
134,58,F,21-24,D,Y,0,1
135,52,M,30-34,G,Y,1,0
136,14,F,45-49,U,N,0,1
137,6,F,21-24,U,Y,0,1
138,22,F,40-44,H,Y,0,1
139,25,F,45-49,D,N,0,1
140,6,M,50-54,I,N,0,1
141,29,M,21-24,F,Y,0,1
142,48,M,45-49,F,Y,0,1
143,22,F,55-59,F,Y,0,1
144,50,F,55-59,F,Y,1,0
145,25,M,45-49,H,Y,0,1
146,37,F,60-64,G,Y,0,1
147,33,M,45-49,I,Y,0,1
148,21,M,60-64,H,Y,0,1
149,23,F,45-49,U,N,0,1
150,38,M,50-54,E,Y,0,1
151,22,M,45-49,F,N,0,1
152,1,M,60-64,U,N,0,1
153,32,M,55-59,F,N,0,1
154,54,F,40-44,D,Y,0,1
155,35,F,35-39,H,Y,0,1
156,30,F,55-59,G,Y,0,1
157,10,M,50-54,G,N,0,1
158,32,M,40-44,G,Y,0,1
159,35,M,55-59,G,N,0,1
160,44,M,45-49,G,Y,0,1
161,26,M,25-29,F,Y,0,1
162,43,M,60-64,G,Y,0,1
163,58,M,45-49,G,Y,0,1
164,47,M,25-29,F,Y,0,1
165,50,M,40-44,G,Y,0,1
166,37,F,50-54,F,Y,0,1
167,49,M,50-54,H,Y,0,1
168,20,M,60-64,U,Y,0,1
169,32,M,25-29,H,Y,0,1
170,24,M,25-29,D,Y,0,1
171,18,F,60-64,U,Y,0,1
172,48,F,30-34,D,Y,0,1
173,18,F,45-49,U,Y,0,1
174,39,F,60-64,D,Y,0,1
175,22,F,55-59,G,Y,0,1
176,30,M,55-59,H,Y,0,1
177,20,F,65+,G,Y,0,1
178,45,M,60-64,I,Y,0,1
179,58,F,55-59,H,Y,0,1
180,18,M,45-49,C,N,0,1
181,45,M,50-54,H,Y,0,1
182,38,M,40-44,G,Y,0,1
183,35,M,25-29,U,Y,0,1
184,44,F,35-39,F,Y,0,1
185,5,M,35-39,G,N,0,1
186,12,F,25-29,F,Y,0,1
187,13,F,21-24,I,Y,0,1
188,27,M,50-54,U,Y,1,0
189,43,M,45-49,I,N,0,1
190,58,M,55-59,G,Y,0,1
191,13,M,35-39,U,Y,0,1
192,1,F,40-44,G,Y,0,1
193,50,F,40-44,I,Y,0,1
194,32,F,55-59,C,Y,0,1
195,42,F,60-64,H,Y,1,0
196,7,F,60-64,U,Y,0,1
197,36,F,50-54,G,Y,0,1
198,35,F,21-24,H,Y,0,1
199,24,M,65+,F,Y,0,1
200,40,F,30-34,I,Y,0,1
201,42,F,50-54,C,Y,0,1
202,3,F,50-54,U,N,0,1
203,22,F,40-44,F,N,0,1
204,21,M,21-24,U,Y,0,1
205,19,F,21-24,G,Y,0,1
206,11,F,35-39,F,Y,0,1
207,11,M,45-49,I,Y,0,1
208,18,M,30-34,G,Y,0,1
209,38,M,30-34,U,Y,0,1
210,52,M,55-59,F,Y,0,1
211,48,M,50-54,F,Y,0,1
212,6,F,00-20,U,Y,0,1
213,18,F,21-24,U,Y,0,1
214,1,M,40-44,U,N,1,0
215,24,F,60-64,U,Y,0,1
216,41,F,60-64,C,Y,0,1
217,36,F,55-59,A,Y,0,1
