customer_id,age,income,tenure_months,engagement_score,product_uses,support_tickets,lifetime_value,region,true_label
1,44,57212,18,49.32,4,2,19482.6,East,1
2,37,40575,27,49.23,5,2,14364.13,West,0
3,41,50048,36,42.54,6,2,17132.66,West,0
4,43,61374,29,42.83,6,2,20599.07,West,2
5,33,31173,0,63.08,4,3,11092.9,East,1
6,25,46823,17,56.31,1,2,16475.4,East,1
7,50,118716,68,54.98,10,4,39368.4,North,2
8,43,64494,41,31.47,5,2,21664.11,West,0
9,31,50132,10,71.77,6,2,17049.98,South,0
10,38,55347,9,43.73,5,2,18755.17,East,1
11,30,67435,21,54.59,2,1,22613.17,East,4
12,35,55936,39,54.25,2,2,18990.86,West,1
13,38,44415,36,48.83,3,2,15540.57,West,0
14,44,51650,47,45.67,5,3,17754.35,West,0
15,21,62376,21,50.51,2,1,21550.1,East,1
16,53,103044,77,-1.72,8,5,33485.1,North,3
17,22,47976,8,64.58,1,3,16707.68,East,1
18,27,35072,5,57.61,5,1,12166.23,East,1
19,33,39340,30,47.02,1,1,14202.51,West,0
20,40,72219,33,56.16,4,2,24361.78,West,0
21,29,38463,9,50.32,5,3,13266.54,East,0
22,20,57409,24,56.21,3,2,19811,East,1
23,41,112994,60,75.61,5,5,37218.16,North,2
24,27,70740,21,71.86,4,1,23730.03,East,4
25,34,72056,25,64.02,6,2,24068.23,East,4
26,47,123099,68,99.86,9,2,41004.51,North,2
27,40,57413,43,30.88,6,3,19287.8,West,0
28,33,72934,28,61.15,6,4,24756.6,East,3
29,38,60352,36,55.47,5,2,20595.61,West,0
30,48,132812,80,40.39,5,4,43775.08,North,3
31,29,75993,30,36.43,2,3,25522.18,North,2
32,42,61451,12,66.41,4,3,20675.38,South,3
33,29,59993,32,70.89,1,3,20577.51,West,0
34,23,32075,0,59.71,4,3,11338.36,East,0
35,32,38048,8,64.53,5,2,12928.62,East,0
36,50,146610,83,100.68,9,6,48472.97,North,3
37,33,68285,30,69.86,4,1,23061.45,East,4
38,32,75946,38,40.17,4,3,25404.07,North,2
39,23,68494,21,42.85,4,1,23091.82,South,1
40,42,62741,52,54.61,5,4,21335.07,West,3
41,41,130623,75,40.27,6,4,43074.25,North,3
42,38,56518,32,57.45,6,2,19780.81,West,0
43,50,129545,69,99.38,9,5,43089.2,North,2
44,29,66594,16,63.78,3,2,22465.03,East,4
45,36,90603,38,17.38,5,4,30015.02,East,3
46,43,129885,73,41.63,7,4,43036.97,North,3
47,42,59743,29,54.05,4,2,20420.64,West,0
48,29,59401,41,69.94,1,2,20097.9,West,3
49,48,126854,78,77.38,9,5,42247.72,North,2
50,29,80149,34,35.6,5,4,26654.62,North,2
51,26,70547,20,68.54,2,2,23565.14,East,4
52,45,56379,9,60.82,4,3,18944.63,South,1
53,30,58624,37,56.32,3,3,19869.12,West,0
54,31,57738,16,60.67,2,2,19551.34,East,4
55,37,46093,26,37.82,4,1,15848.87,West,0
56,44,67300,38,65.15,7,2,22831.56,West,0
57,19,49164,11,47.45,2,2,16670.82,East,4
58,34,61016,20,67.68,6,4,20627.96,East,3
59,36,68889,21,63.01,3,1,23302.44,East,1
60,33,66972,20,62.87,4,2,22772.17,East,4
61,38,64320,27,56.59,5,2,21570.8,West,1
62,46,102626,62,43.21,8,3,34363.47,North,2
63,28,61230,42,58.27,2,2,20708.82,West,3
64,26,66212,9,42.71,4,0,22227.64,South,1
65,55,155607,94,99.09,9,5,51627.3,North,3
66,30,64405,19,71.52,3,2,21696.75,East,4
67,25,53990,13,53.09,2,2,18176.9,East,2
68,28,62082,35,63.01,2,3,21024,West,3
69,35,64131,18,72.45,4,4,21756.37,East,3
70,33,85812,39,17.95,6,5,28487.11,East,3
71,37,47531,38,42.17,4,2,16336.3,West,1
72,33,93109,39,36.44,4,4,30941.75,North,2
73,18,34554,0,50.94,2,2,12244.86,East,1
74,56,147850,95,70.14,9,5,49106.5,North,3
75,36,94291,44,39.36,4,4,31388.1,North,2
76,52,84256,70,12.12,7,4,27833.13,West,3
77,51,123284,61,63.38,8,4,40814.55,North,2
78,29,41499,23,39.67,2,1,14605.33,East,0
79,49,138484,86,100.5,8,5,45937.64,North,3
80,28,67180,22,66.07,2,1,22370.46,East,4
81,32,66706,20,63,5,2,22444.48,East,1
82,38,96587,58,43.24,5,3,31925.31,North,2
83,27,60526,15,55.09,2,2,20283.76,East,2
84,41,113333,59,79.34,7,4,37160.88,North,2
85,40,131173,79,46.86,8,6,43230.84,North,3
86,25,45886,1,50.31,3,2,15951.83,East,1
87,34,59379,47,72.83,2,3,20221.31,West,3
88,34,82733,29,39.22,5,4,27604.48,East,3
89,34,60578,11,49.89,4,1,20382.54,East,4
90,48,67934,64,34.34,6,4,22971.18,West,3
91,39,63958,16,87.59,4,3,21768.02,South,3
92,31,58219,24,55.18,3,1,19844.73,East,1
93,36,70899,20,64.02,4,1,24025.5,East,4
94,50,109302,57,35.8,8,3,36485.64,North,2
95,41,47400,27,46.04,6,2,16477.57,West,1
96,26,62844,30,47.54,2,1,21451.98,East,1
97,41,69680,38,37.89,7,2,23315.7,West,0
98,55,104950,82,-4.37,10,4,33963.9,North,3
99,30,57869,41,59.5,1,2,19866.83,West,0
100,28,55147,14,60.7,2,2,18614.25,East,1
101,35,106519,61,4.79,6,5,34619.29,North,3
102,47,121692,68,92.93,7,4,40238.3,North,2
103,46,128427,72,85.99,9,4,42670.48,North,2
104,59,154927,96,65.6,10,5,51023.4,North,3
105,28,68759,16,65.07,4,2,22953.52,East,0
106,24,33543,0,57.25,2,2,11920.33,East,1
107,32,69200,19,54.37,6,0,23394.53,East,4
108,42,72785,43,44.95,5,2,24569.82,West,2
109,28,67661,16,58.83,5,2,22658.69,East,4
110,43,68440,59,32.78,5,4,22691.12,West,3
111,35,66921,21,58.54,5,1,22419.77,East,4
112,29,71542,17,75.41,4,2,24469.74,East,4
113,40,56797,11,55.32,5,3,19065.18,South,3
114,28,66323,20,59.22,3,1,21885.08,East,4
115,37,68574,19,66.74,4,2,23332.3,East,4
116,35,74949,33,75.87,5,1,25040.74,East,0
117,30,69662,20,73.8,3,2,23615.05,East,2
118,38,57350,16,76.04,6,2,19300.42,South,1
119,23,46531,10,60.09,4,2,15933.32,East,0
120,31,71649,21,65.54,5,1,23876.16,East,4
121,43,118209,63,89.26,6,4,39028.97,North,2
122,21,68757,28,52.12,2,1,23401.67,West,1
123,47,113150,65,37.3,9,3,37242.11,North,2
124,25,30185,1,52.94,3,2,10811.84,East,0
125,33,74673,21,72.15,3,2,25092.43,East,4
126,43,122326,66,78.35,6,4,40331.57,North,2
127,33,84133,36,39.86,4,3,28128.31,East,3
128,36,56649,34,43.27,4,2,19090.01,West,0
129,24,69501,23,47.66,4,2,23471.05,West,0
130,54,103521,73,6.25,8,4,33770.44,North,3
131,36,59507,14,50.19,5,2,20375.83,East,0
132,40,67019,32,40.66,8,2,22452.26,West,2
133,26,54003,25,45.51,1,2,18152.56,East,2
134,26,63885,18,50.16,4,1,21570.53,East,1
135,56,94890,81,5,7,5,31010.35,North,3
136,29,61620,21,48.03,4,3,20422.11,East,2
137,23,65464,26,47.09,2,1,22379.94,West,0
138,47,133729,85,72.3,7,6,44375.72,North,3
139,57,137913,90,51.07,11,4,45514.74,North,3
140,33,75738,31,61.26,5,2,25322.58,West,0
141,26,41916,15,55.82,4,2,14368.85,East,1
142,22,50413,7,62.99,2,1,17455.13,East,0
143,38,49233,16,63.3,6,2,16671.16,South,3
144,24,63619,20,38.36,3,1,21460.7,East,1
145,40,48273,15,71.44,6,3,16491.62,South,0
146,39,63133,18,43.65,3,2,20970.78,South,3
